host_module,Gene,GeneEdgeWeight
Module_20__glycosylation_biosynthetic,PRKD1,1.4190864710117423
Module_20__glycosylation_biosynthetic,PRKD2,1.4190864710117423
Module_20__glycosylation_biosynthetic,SGMS1,1.4190864710117423
Module_20__glycosylation_biosynthetic,SGMS2,1.4190864710117423
Module_20__glycosylation_biosynthetic,SIRT3,1.4190864710117423
Module_20__glycosylation_biosynthetic,SPHK1,1.4190864710117423
Module_20__glycosylation_biosynthetic,SPHK2,1.4190864710117423
Module_20__glycosylation_biosynthetic,SPNS2,1.4190864710117423
Module_20__glycosylation_biosynthetic,SPTLC2,1.4190864710117423
Module_20__glycosylation_biosynthetic,SPTLC3,1.4190864710117423
Module_20__glycosylation_biosynthetic,ST3GAL1,1.4190864710117423
Module_20__glycosylation_biosynthetic,ST3GAL2,1.4190864710117423
Module_20__glycosylation_biosynthetic,ST3GAL3,1.4190864710117423
Module_20__glycosylation_biosynthetic,ST3GAL5,1.4190864710117423
Module_20__glycosylation_biosynthetic,ST6GALNAC3,1.4190864710117423
Module_20__glycosylation_biosynthetic,ST6GALNAC4,1.4190864710117423
Module_20__glycosylation_biosynthetic,ST6GALNAC5,1.4190864710117423
Module_20__glycosylation_biosynthetic,ST6GALNAC6,1.4190864710117423
Module_20__glycosylation_biosynthetic,ST8SIA1,1.4190864710117423
Module_20__glycosylation_biosynthetic,ST8SIA2,1.4190864710117423
Module_20__glycosylation_biosynthetic,ST8SIA3,1.4190864710117423
Module_20__glycosylation_biosynthetic,ST8SIA4,1.4190864710117423
Module_20__glycosylation_biosynthetic,ST8SIA5,1.4190864710117423
Module_20__glycosylation_biosynthetic,ST8SIA6,1.4190864710117423
Module_20__glycosylation_biosynthetic,UGT8,1.4190864710117423
Module_20__glycosylation_biosynthetic,ZNF750,1.4190864710117423
Module_60__metabolic_catabolic,ACTN3,1.6788492015794698
Module_60__metabolic_catabolic,ADPGK,1.6788492015794698
Module_60__metabolic_catabolic,ALDOA,1.6788492015794698
Module_60__metabolic_catabolic,ALDOB,1.6788492015794698
Module_60__metabolic_catabolic,ALDOC,1.6788492015794698
Module_60__metabolic_catabolic,ARL2,1.6788492015794698
Module_60__metabolic_catabolic,ARNT,1.6788492015794698
Module_60__metabolic_catabolic,BCKDK,1.6788492015794698
Module_60__metabolic_catabolic,BPGM,1.6788492015794698
Module_60__metabolic_catabolic,CBFA2T3,1.6788492015794698
Module_60__metabolic_catabolic,COL6A1,1.6788492015794698
Module_60__metabolic_catabolic,ENO1,1.6788492015794698
Module_60__metabolic_catabolic,FBP1,1.6788492015794698
Module_60__metabolic_catabolic,FKRP,1.6788492015794698
Module_60__metabolic_catabolic,FLCN,1.6788492015794698
Module_60__metabolic_catabolic,FOXK1,1.6788492015794698
Module_60__metabolic_catabolic,FOXK2,1.6788492015794698
Module_60__metabolic_catabolic,GALK1,1.6788492015794698
Module_60__metabolic_catabolic,GAPDHS,1.6788492015794698
Module_60__metabolic_catabolic,GCK,1.6788492015794698
Module_60__metabolic_catabolic,GIT1,1.6788492015794698
Module_60__metabolic_catabolic,GPD1,1.6788492015794698
Module_60__metabolic_catabolic,GPR87,1.6788492015794698
Module_60__metabolic_catabolic,HDAC4,1.6788492015794698
Module_60__metabolic_catabolic,HK1,1.6788492015794698
Module_60__metabolic_catabolic,HK2,1.6788492015794698
