Genus,Microbe_Direction,MicrobeScore,Obj2_Pathway,Functional_Class,Comparison,Evidence_Score,FDR,Hits,LinkScore
Streptomyces,Tumor_up,19.1650563481703,Phosphatidylcholine Biosynthesis,Lipid_or_Membrane,Tumor_vs_Adjacent,3,0.797,4.0,57.4951690445109
Thermococcus,Tumor_up,23.11954687407791,Alanine Metabolism,AminoAcid_or_Nitrogen,Tumor_vs_Adjacent,3,1.0,1.0,69.35864062223372
Thermococcus,Tumor_up,23.11954687407791,Phosphatidylinositol Phosphate Metabolism,Lipid_or_Membrane,Tumor_vs_Adjacent,3,1.0,1.0,69.35864062223372
Thermococcus,Tumor_up,23.11954687407791,Purine Metabolism,AminoAcid_or_Nitrogen,Tumor_vs_Adjacent,3,1.0,8.0,69.35864062223372
Thermococcus,Tumor_up,23.11954687407791,Pterine Biosynthesis,Other,Tumor_vs_Adjacent,3,1.0,3.0,69.35864062223372
Thermococcus,Tumor_up,23.11954687407791,Propanoate Metabolism,AminoAcid_or_Nitrogen,Tumor_vs_Adjacent,3,1.0,2.0,69.35864062223372
Thermococcus,Tumor_up,23.11954687407791,Porphyrin Metabolism,AminoAcid_or_Nitrogen,Tumor_vs_Adjacent,3,1.0,1.0,69.35864062223372
Thermococcus,Tumor_up,23.11954687407791,Plasmalogen Synthesis,Other,Tumor_vs_Adjacent,3,1.0,3.0,69.35864062223372
Thermococcus,Tumor_up,23.11954687407791,Phytanic Acid Peroxisomal Oxidation,Redox,Tumor_vs_Adjacent,3,1.0,1.0,69.35864062223372
Thermococcus,Tumor_up,23.11954687407791,Phospholipid Biosynthesis,Lipid_or_Membrane,Tumor_vs_Adjacent,3,1.0,2.0,69.35864062223372
Thermococcus,Tumor_up,23.11954687407791,Phosphatidylethanolamine Biosynthesis,Lipid_or_Membrane,Tumor_vs_Adjacent,3,0.606,4.0,69.35864062223372
Thermococcus,Tumor_up,23.11954687407791,Pyruvate Metabolism,AminoAcid_or_Nitrogen,Tumor_vs_Adjacent,3,1.0,2.0,69.35864062223372
Thermococcus,Tumor_up,23.11954687407791,Phosphatidylcholine Biosynthesis,Lipid_or_Membrane,Tumor_vs_Adjacent,3,0.797,4.0,69.35864062223372
UBA2212,Adjacent_up,13.52148378134368,Alanine Metabolism,AminoAcid_or_Nitrogen,Tumor_vs_Adjacent,3,1.0,1.0,40.56445134403104
UBA2212,Adjacent_up,13.52148378134368,Phosphatidylinositol Phosphate Metabolism,Lipid_or_Membrane,Tumor_vs_Adjacent,3,1.0,1.0,40.56445134403104
UBA2212,Adjacent_up,13.52148378134368,Purine Metabolism,AminoAcid_or_Nitrogen,Tumor_vs_Adjacent,3,1.0,8.0,40.56445134403104
UBA2212,Adjacent_up,13.52148378134368,Pterine Biosynthesis,Other,Tumor_vs_Adjacent,3,1.0,3.0,40.56445134403104
UBA2212,Adjacent_up,13.52148378134368,Propanoate Metabolism,AminoAcid_or_Nitrogen,Tumor_vs_Adjacent,3,1.0,2.0,40.56445134403104
UBA2212,Adjacent_up,13.52148378134368,Porphyrin Metabolism,AminoAcid_or_Nitrogen,Tumor_vs_Adjacent,3,1.0,1.0,40.56445134403104
UBA2212,Adjacent_up,13.52148378134368,Plasmalogen Synthesis,Other,Tumor_vs_Adjacent,3,1.0,3.0,40.56445134403104
UBA2212,Adjacent_up,13.52148378134368,Phytanic Acid Peroxisomal Oxidation,Redox,Tumor_vs_Adjacent,3,1.0,1.0,40.56445134403104
UBA2212,Adjacent_up,13.52148378134368,Phospholipid Biosynthesis,Lipid_or_Membrane,Tumor_vs_Adjacent,3,1.0,2.0,40.56445134403104
UBA2212,Adjacent_up,13.52148378134368,Phosphatidylethanolamine Biosynthesis,Lipid_or_Membrane,Tumor_vs_Adjacent,3,0.606,4.0,40.56445134403104
UBA2212,Adjacent_up,13.52148378134368,Pyruvate Metabolism,AminoAcid_or_Nitrogen,Tumor_vs_Adjacent,3,1.0,2.0,40.56445134403104
UBA2212,Adjacent_up,13.52148378134368,Phosphatidylcholine Biosynthesis,Lipid_or_Membrane,Tumor_vs_Adjacent,3,0.797,4.0,40.56445134403104
